head,relation,tail
除法的意义,appears_in,表内除法（二）
乘除法的互逆关系,appears_in,表内除法（二）
根据乘法口诀进行除法计算,appears_in,表内除法（二）
根据实际情境建立除法数学模型,appears_in,表内除法（二）
计算：56 ÷ 8 = ？（提示：想一想与之对应的乘法口诀）,appears_in,表内除法（二）
一个计数器8元，56元可以买几个计数器？,appears_in,表内除法（二）
综合算式,appears_in,混合运算
加减法的运算顺序,appears_in,混合运算
乘除法的运算顺序,appears_in,混合运算
四则混合运算顺序,appears_in,混合运算
括号的作用,appears_in,混合运算
多步骤解决问题,appears_in,混合运算
将情境转化为综合算式,appears_in,混合运算
计算：53－24＋38,appears_in,混合运算
下面一共有多少盒酸奶？（图示为4盒一组，共3组，另有3盒）,appears_in,混合运算
有余数的除法,appears_in,有余数的除法
余数的意义,appears_in,有余数的除法
余数必须小于除数,appears_in,有余数的除法
除法竖式表示,appears_in,有余数的除法
商的意义,appears_in,有余数的除法
被除数与除数的意义,appears_in,有余数的除法
用除法解决分组或平均分问题,appears_in,有余数的除法
根据规律用除法确定序号对应元素,appears_in,有余数的除法
万以内数的认识,appears_in,万以内数的认识
数位与数位顺序,appears_in,万以内数的认识
数的组成,appears_in,万以内数的认识
数的读法,appears_in,万以内数的认识
数的写法,appears_in,万以内数的认识
数的大小比较,appears_in,万以内数的认识
估算与近似数,appears_in,万以内数的认识
按数位分解与合成数,appears_in,万以内数的认识
在计数器和算盘上表示数,appears_in,万以内数的认识
从大到小或从小到大排列数,appears_in,万以内数的认识
有（ ）个百、（ ）个十和（ ）个一，它们组成的数是（ ）。,appears_in,万以内数的认识
在○里填上“>”或“<”：1020 ○ 999,appears_in,万以内数的认识
克,appears_in,克和千克
千克,appears_in,克和千克
质量单位换算,appears_in,克和千克
净含量,appears_in,克和千克
常见质量单位（公斤、斤、两）,appears_in,克和千克
秤的读法,appears_in,克和千克
估测质量,appears_in,克和千克
比较质量,appears_in,克和千克
2个曲别针约重1克。请判断下列物品哪些可能比1克轻：干树叶、羽毛、小纸片。,appears_in,克和千克
把下面的质量进行比较：2千克 ○ 2000克。,appears_in,克和千克
一个物品重1500克，请问是多少千克？,appears_in,克和千克
排除法,appears_in,数学广角——推理
简单逻辑推理,appears_in,数学广角——推理
行列不重复规则,appears_in,数学广角——推理
数独规则,appears_in,数学广角——推理
列表与连线分析法,appears_in,数学广角——推理
逐行逐列填数法,appears_in,数学广角——推理
小刚、小雪、小雨三人分别拿着《语文》《数学》《道德与法治》三本书。小雨说“我拿的是语文书”，小雪说“我拿的不是数学书”。请问小刚、小雪分别拿的是什么书？,appears_in,数学广角——推理
在方格中，每行、每列都需要填写1~4且不能重复。A、B在图中位置，请问B应为几？,appears_in,数学广角——推理
万以内的数,appears_in,总复习
有余数的除法,appears_in,总复习
数据收集与整理,appears_in,总复习
轴对称图形,appears_in,总复习
平移,appears_in,总复习
旋转,appears_in,总复习
竖式笔算加减法,appears_in,总复习
运算顺序应用,appears_in,总复习
从调查中提出数学问题,appears_in,总复习
24个泥娃娃装在5个盒子里，平均每盒装多少个？还剩多少个？,appears_in,总复习
读出并写出数2000+700+8表示的数，并说明它是万以内的什么数。,appears_in,总复习
根据同学们最喜欢的体育活动统计结果完成统计表，并提出一个数学问题。,appears_in,总复习
秒,prerequisites_for,分钟
分钟,prerequisites_for,小时
时间单位的换算,is_a,分钟
时间单位的换算,is_a,小时
秒,relates_to,分钟
分钟,relates_to,小时
秒,prerequisites_for,利用钟表读时间
分钟,prerequisites_for,时间的加减计算
时间单位的换算,prerequisites_for,时间的加减计算
整十数加减整十数,prerequisites_for,两位数加法的口算方法
整十数加减整十数,prerequisites_for,两位数减法的口算方法
两位数加法的口算方法,relates_to,两位数减法的口算方法
估算,relates_to,整十数加减整十数
毫米,is_a,厘米
毫米,prerequisites_for,厘米
分米,is_a,米
米,prerequisites_for,千米
千克,is_a,吨
厘米,relates_to,分米
米,relates_to,千米
千克,relates_to,吨
万以内加法的竖式计算,prerequisites_for,加法验算
万以内减法的竖式计算,prerequisites_for,减法验算
万以内加法的竖式计算,relates_to,万以内减法的竖式计算
整十整百整千数乘一位数的口算,prerequisites_for,多位数乘一位数
0 的乘法特性,prerequisites_for,多位数乘一位数
笔算乘法,prerequisites_for,多位数乘一位数
估算,prerequisites_for,多位数乘一位数
多位数乘一位数,relates_to,笔算乘法
多位数乘一位数,relates_to,估算
长方形,is_a,四边形
正方形,is_a,四边形
封闭图形,prerequisites_for,周长
测量长度,prerequisites_for,周长
分子,is_a,分数
分母,is_a,分数
分数,prerequisites_for,同分母分数加法
分数,prerequisites_for,同分母分数减法
将整体平均分,prerequisites_for,分母
用图形表示分数,prerequisites_for,分数
分数,prerequisites_for,根据分数求具体数量
分子,relates_to,分母
同分母分数加法,relates_to,同分母分数减法
集合的元素,is_a,集合
集合,relates_to,交集
交集,relates_to,用图表示集合（维恩图）
集合,prerequisites_for,用图表示集合（维恩图）
交集,prerequisites_for,列式解决集合问题
分数的基本认识,prerequisites_for,同分母分数加减法
长方形和正方形的特征,relates_to,周长的计算
长度单位换算,prerequisites_for,简单的实际问题建模
多位数加减法,prerequisites_for,简单的实际问题建模
多位数乘一位数,prerequisites_for,简单的实际问题建模
时间单位换算,relates_to,长度单位换算
时、分、秒,is_part_of,三年级上册
万以内的加法和减法（一）,is_part_of,三年级上册
测量,is_part_of,三年级上册
万以内的加法和减法（二）,is_part_of,三年级上册
倍的认识,is_part_of,三年级上册
多位数乘一位数,is_part_of,三年级上册
长方形和正方形,is_part_of,三年级上册
分数的初步认识,is_part_of,三年级上册
数学广角——集合,is_part_of,三年级上册
总复习,is_part_of,三年级上册
秒,appears_in,时、分、秒
分钟,appears_in,时、分、秒
小时,appears_in,时、分、秒
时间单位的换算,appears_in,时、分、秒
利用钟表读时间,appears_in,时、分、秒
时间的估计,appears_in,时、分、秒
时间的加减计算,appears_in,时、分、秒
1分=（）秒,appears_in,时、分、秒
小明从8:05走到8:20用了多少分钟？,appears_in,时、分、秒
9:15发车的地铁全程需要35分钟，何时到终点站？,appears_in,时、分、秒
两位数加法的口算方法,appears_in,万以内的加法和减法（一）
两位数减法的口算方法,appears_in,万以内的加法和减法（一）
整十数加减整十数,appears_in,万以内的加法和减法（一）
估算,appears_in,万以内的加法和减法（一）
口算拆分法,appears_in,万以内的加法和减法（一）
估算策略应用,appears_in,万以内的加法和减法（一）
计算 45−34，并说一说你的口算方法。,appears_in,万以内的加法和减法（一）
科技馆影院有445个座位，223人和234人同时看电影坐得下吗？,appears_in,万以内的加法和减法（一）
毫米,appears_in,测量
厘米,appears_in,测量
分米,appears_in,测量
米,appears_in,测量
千米,appears_in,测量
千克,appears_in,测量
吨,appears_in,测量
估测长度,appears_in,测量
单位换算,appears_in,测量
3厘米 = （ ）毫米,appears_in,测量
70厘米 = （ ）分米,appears_in,测量
1千米 = （ ）米,appears_in,测量
4吨 = （ ）千克,appears_in,测量
万以内加法的竖式计算,appears_in,万以内的加法和减法（二）
万以内减法的竖式计算,appears_in,万以内的加法和减法（二）
加法验算,appears_in,万以内的加法和减法（二）
减法验算,appears_in,万以内的加法和减法（二）
根据数位分析计算,appears_in,万以内的加法和减法（二）
选择合适的计算策略解决实际问题,appears_in,万以内的加法和减法（二）
445+298=？他列竖式得出743，你能验算一下吗？,appears_in,万以内的加法和减法（二）
276−124=？从哪一位减起？,appears_in,万以内的加法和减法（二）
500−268=？,appears_in,万以内的加法和减法（二）
倍的意义,appears_in,倍的认识
用除法求倍数,appears_in,倍的认识
用乘法求倍量,appears_in,倍的认识
画示意图理解倍的关系,appears_in,倍的认识
根据情境提出倍数问题,appears_in,倍的认识
教室里扫地的有4人，擦桌椅的有12人。擦桌椅的人数是扫地的几倍？,appears_in,倍的认识
跳棋的价钱是8元，象棋的价钱是跳棋的4倍。象棋的价钱是多少？,appears_in,倍的认识
小红踢了18个，小亮踢了3个。小红踢的是小亮的几倍？,appears_in,倍的认识
多位数乘一位数,appears_in,多位数乘一位数
整十整百整千数乘一位数的口算,appears_in,多位数乘一位数
0 的乘法特性,appears_in,多位数乘一位数
笔算乘法,appears_in,多位数乘一位数
估算,appears_in,多位数乘一位数
四边形,appears_in,长方形和正方形
长方形,appears_in,长方形和正方形
正方形,appears_in,长方形和正方形
封闭图形,appears_in,长方形和正方形
周长,appears_in,长方形和正方形
测量长度,appears_in,长方形和正方形
在方格纸上画图形,appears_in,长方形和正方形
判断四边形的相关描述是否正确：（1）四边形有4条直的边；（2）四边形有4个直角；（3）四边形的对边相等。,appears_in,长方形和正方形
一个长方形花坛，长5米，宽3米，它的周长是多少米？,appears_in,长方形和正方形
计算边长为5厘米的正方形的周长。,appears_in,长方形和正方形
分数,appears_in,分数的初步认识
分子,appears_in,分数的初步认识
分母,appears_in,分数的初步认识
同分母分数加法,appears_in,分数的初步认识
同分母分数减法,appears_in,分数的初步认识
将整体平均分,appears_in,分数的初步认识
用图形表示分数,appears_in,分数的初步认识
根据分数求具体数量,appears_in,分数的初步认识
把一个月饼平均分成2份，每份是整体的几分之几？,appears_in,分数的初步认识
哥哥吃了2/8西瓜，弟弟吃了1/8，他们一共吃了几分之几？,appears_in,分数的初步认识
有12名学生，其中1/3是女生，2/3是男生。女生、男生各有多少人？,appears_in,分数的初步认识
集合,appears_in,数学广角——集合
集合的元素,appears_in,数学广角——集合
交集,appears_in,数学广角——集合
用图表示集合（维恩图）,appears_in,数学广角——集合
通过画图分析集合关系,appears_in,数学广角——集合
列式解决集合问题,appears_in,数学广角——集合
跳绳9人，踢毽8人，两项都参加的有3人。参加这两项比赛的共有多少人？,appears_in,数学广角——集合
在大于50小于70与大于60小于80两个圈中，两个圈里都出现的数有多少个？,appears_in,数学广角——集合
参观熊猫馆25人，参观大象馆30人，两馆都参观的有18人。去动物园的一共有多少人？,appears_in,数学广角——集合
分数的基本认识,appears_in,总复习
同分母分数加减法,appears_in,总复习
长方形和正方形的特征,appears_in,总复习
周长的计算,appears_in,总复习
时间单位换算,appears_in,总复习
长度单位换算,appears_in,总复习
质量单位换算,appears_in,总复习
多位数加减法,appears_in,总复习
多位数乘一位数,appears_in,总复习
倍数关系,appears_in,总复习
简单的实际问题建模,appears_in,总复习
数形结合,appears_in,总复习
估算能力,appears_in,总复习
计算：3/5 + 1/5 = ?,appears_in,总复习
一架飞机先从北京飞到广州，再飞行690千米到三亚，一共飞行多少千米？比从北京直接飞到三亚多飞多少千米？,appears_in,总复习
一个长方形长6厘米，宽3厘米，求它的周长。,appears_in,总复习
八个方向,is_a,东南西北四个基本方向
东南西北四个基本方向,prerequisites_for,建筑物之间的方向关系
东南西北四个基本方向,prerequisites_for,根据参照物确定方向
东南西北四个基本方向,prerequisites_for,根据示意图判断方向
东南西北四个基本方向,relates_to,相对方向
东南西北四个基本方向,relates_to,利用自然现象判断方向
东南西北四个基本方向,relates_to,指南针辨别方向
除数是一位数的除法,is_a,竖式除法的位值原则
被除数、除数、商、余数,prerequisites_for,竖式除法的位值原则
口算整十、整百数的除法,prerequisites_for,除数是一位数的除法
笔算除法步骤,prerequisites_for,竖式除法的位值原则
有余数的除法验算,relates_to,竖式除法的位值原则
简单统计表,is_a,统计表
复式统计表,is_a,统计表
统计表,prerequisites_for,复式统计表
数据整理,prerequisites_for,统计表
简单统计表,relates_to,复式统计表
乘法的分配律（整数范围）,prerequisites_for,两位数乘两位数的笔算方法
整十数乘法,prerequisites_for,乘法的分配律（整数范围）
分解数进行口算,prerequisites_for,两位数乘两位数的笔算方法
整十数乘法,relates_to,整百数乘法
估算结果判断计算合理性,relates_to,两位数乘两位数的笔算方法
平方厘米,is_a,面积单位
平方分米,is_a,面积单位
平方米,is_a,面积单位
面积,prerequisites_for,长方形面积公式
面积单位进率,prerequisites_for,长方形面积公式
长方形面积公式,relates_to,正方形面积公式
年、月、日,relates_to,月份天数
平年,relates_to,闰年
时间单位换算,prerequisites_for,时间间隔计算
24时计时法,prerequisites_for,时间间隔计算
读取年历,is_a,计算时间差
小数,relates_to,十分之一与分米、角的关系
小数,relates_to,小数的读法
小数的读法,prerequisites_for,小数的比较大小
小数的比较大小,prerequisites_for,小数加减法及小数点对齐
小数加减法及小数点对齐,relates_to,依据情境进行小数估算
十分之一与分米、角的关系,relates_to,用图形或量感理解小数
系统列举法,prerequisites_for,不重复数字组成的两位数
分类计数,prerequisites_for,不重复数字组成的两位数
分类计数,relates_to,两个元素的所有配对（两两组合）
列表法,is_a,系统列举法
方位,relates_to,示意图
长方形面积计算,prerequisites_for,正方形面积计算
两位数乘两位数,prerequisites_for,长方形面积计算
除数是一位数的除法,prerequisites_for,整理统计表
时间跨度计算,prerequisites_for,整理统计表
提出数学问题,is_a,整理统计表
位置与方向（一）,is_part_of,三年级下册
除数是一位数的除法,is_part_of,三年级下册
复式统计表,is_part_of,三年级下册
两位数乘两位数,is_part_of,三年级下册
面积,is_part_of,三年级下册
年、月、日,is_part_of,三年级下册
小数的初步认识,is_part_of,三年级下册
数学广角——搭配（二）,is_part_of,三年级下册
总复习,is_part_of,三年级下册
东南西北四个基本方向,appears_in,位置与方向（一）
相对方向,appears_in,位置与方向（一）
利用自然现象判断方向,appears_in,位置与方向（一）
建筑物之间的方向关系,appears_in,位置与方向（一）
八个方向,appears_in,位置与方向（一）
指南针辨别方向,appears_in,位置与方向（一）
根据参照物确定方向,appears_in,位置与方向（一）
根据示意图判断方向,appears_in,位置与方向（一）
使用指南针确定方向,appears_in,位置与方向（一）
面向北，你的前、后、左、右各是什么方向？,appears_in,位置与方向（一）
东与（ ）相对，北与（ ）相对。,appears_in,位置与方向（一）
根据动物园导游图：大熊猫馆在动物园的( )角，飞禽馆在动物园的( )角。,appears_in,位置与方向（一）
指南针是我国古代四大发明之一。利用指南针可以确定什么方向？,appears_in,位置与方向（一）
除数是一位数的除法,appears_in,除数是一位数的除法
被除数、除数、商、余数,appears_in,除数是一位数的除法
竖式除法的位值原则,appears_in,除数是一位数的除法
有余数的除法验算,appears_in,除数是一位数的除法
口算整十、整百数的除法,appears_in,除数是一位数的除法
估算商,appears_in,除数是一位数的除法
笔算除法步骤,appears_in,除数是一位数的除法
把60张彩色手工纸平均分给3人，每人分得多少张？,appears_in,除数是一位数的除法
李叔叔骑车旅行，3天一共骑行267千米。估计一下平均每天大约骑行多少千米。,appears_in,除数是一位数的除法
学校的石榴树结了148个石榴，平均分给6个年级。每个年级分得多少个，还剩几个？,appears_in,除数是一位数的除法
统计表,appears_in,复式统计表
简单统计表,appears_in,复式统计表
复式统计表,appears_in,复式统计表
数据整理,appears_in,复式统计表
比较分析数据,appears_in,复式统计表
合并统计表,appears_in,复式统计表
根据“男生、女生最喜欢的运动项目人数情况”表，回答：男生喜欢哪种运动项目的人最多？女生呢？,appears_in,复式统计表
比较2013、2017、2021三年的空气质量数据，你有什么发现？,appears_in,复式统计表
将第一分公司和第二分公司人员配置情况合成一个表。,appears_in,复式统计表
乘法的分配律（整数范围）,appears_in,两位数乘两位数
整十数乘法,appears_in,两位数乘两位数
整百数乘法,appears_in,两位数乘两位数
两位数乘两位数的笔算方法,appears_in,两位数乘两位数
估算（乘法）,appears_in,两位数乘两位数
分解数进行口算,appears_in,两位数乘两位数
画线段图或点子图理解乘法关系,appears_in,两位数乘两位数
估算结果判断计算合理性,appears_in,两位数乘两位数
16×3 的口算结果是多少？请用分解数的方法计算。,appears_in,两位数乘两位数
计算 37×48，并判断计算结果是否合理。,appears_in,两位数乘两位数
面积,appears_in,面积
面积单位,appears_in,面积
平方厘米,appears_in,面积
平方分米,appears_in,面积
平方米,appears_in,面积
面积单位进率,appears_in,面积
长方形面积公式,appears_in,面积
正方形面积公式,appears_in,面积
用单位面积测量法比较面积,appears_in,面积
分割与拼合法求面积,appears_in,面积
一个长方形长5厘米，宽3厘米。求它的面积。,appears_in,面积
右面的交通标志牌近似正方形，边长约80厘米。求面积并换算成平方分米。,appears_in,面积
用1平方厘米的小正方形数一数图形的面积（如下三图）哪个最大？,appears_in,面积
年、月、日,appears_in,年、月、日
月份天数,appears_in,年、月、日
平年,appears_in,年、月、日
闰年,appears_in,年、月、日
24时计时法,appears_in,年、月、日
时间单位换算,appears_in,年、月、日
时间间隔计算,appears_in,年、月、日
读取年历,appears_in,年、月、日
使用24时计时法,appears_in,年、月、日
计算时间差,appears_in,年、月、日
2016年是闰年，( )年后，即( )年又是闰年。,appears_in,年、月、日
下午5时用24时计时法表示是几时？,appears_in,年、月、日
一场排球比赛19时30分开始，21时45分结束，比赛进行了多少分钟？,appears_in,年、月、日
小数,appears_in,小数的初步认识
十分之一与分米、角的关系,appears_in,小数的初步认识
小数的读法,appears_in,小数的初步认识
小数的比较大小,appears_in,小数的初步认识
小数加减法及小数点对齐,appears_in,小数的初步认识
用图形或量感理解小数,appears_in,小数的初步认识
依据情境进行小数估算,appears_in,小数的初步认识
1分米 = （ ）米；5角是5/10元，还可以写成（ ）元。,appears_in,小数的初步认识
比较大小：0.8、1.2、1.1、0.9，请按从大到小排序。,appears_in,小数的初步认识
计算：0.8 + 0.6；1.2 - 0.6（要求解释小数点为什么要对齐）,appears_in,小数的初步认识
不重复数字组成的两位数,appears_in,数学广角——搭配（二）
系统列举法,appears_in,数学广角——搭配（二）
分类计数,appears_in,数学广角——搭配（二）
两个元素的所有配对（两两组合）,appears_in,数学广角——搭配（二）
列表法,appears_in,数学广角——搭配（二）
画连线图,appears_in,数学广角——搭配（二）
用0、2、4、6可以组成多少个没有重复数字的两位数？,appears_in,数学广角——搭配（二）
三年级4个班进行足球比赛，每2个班踢一场，一共要踢多少场？,appears_in,数学广角——搭配（二）
从饮品和主食中各选1样，有多少种不同的搭配？（饮品2种，主食3种）,appears_in,数学广角——搭配（二）
方位,appears_in,总复习
示意图,appears_in,总复习
长方形面积计算,appears_in,总复习
正方形面积计算,appears_in,总复习
两位数乘两位数,appears_in,总复习
除数是一位数的除法,appears_in,总复习
时间跨度计算,appears_in,总复习
整理统计表,appears_in,总复习
提出数学问题,appears_in,总复习
图书馆的开馆时间是8:30-16:30，图书馆一天共开放多少小时？,appears_in,总复习
一个长方形健身园长85米，宽66米。它占地多少平方米？,appears_in,总复习
小红家去年平均每个月用水9吨，全年的水费一共540元。每吨水多少钱？,appears_in,总复习
一只鸟7天吃掉665只虫子，平均每天吃掉多少只？,appears_in,总复习
计数单位,is_a,十进制计数法
计数单位,prerequisites_for,数位
数位,prerequisites_for,数级
多位数的读法,relates_to,多位数的写法
数级,prerequisites_for,分级读数法
数级,prerequisites_for,分级写数法
多位数的读法,prerequisites_for,比较数的大小
四舍五入,prerequisites_for,比较数的大小
公顷,relates_to,面积单位换算
平方千米,relates_to,面积单位换算
面积,prerequisites_for,公顷
面积,prerequisites_for,平方千米
面积单位换算方法,prerequisites_for,面积单位换算
直角,is_a,角
锐角,is_a,角
钝角,is_a,角
度（角的单位）,prerequisites_for,用量角器测量角
用量角器测量角,prerequisites_for,用量角器画角
平角,relates_to,周角
整十数乘法,prerequisites_for,三位数乘两位数的笔算
三位数乘两位数的笔算,prerequisites_for,笔算乘法
积的变化规律,relates_to,整十数乘法
单价×数量=总价,relates_to,速度×时间=路程
平行线,relates_to,平行四边形
垂直,relates_to,点到直线的距离
等腰梯形,is_a,梯形
直角梯形,is_a,梯形
垂直,prerequisites_for,画垂线
平行线,prerequisites_for,画平行线
试商,prerequisites_for,除数是两位数的除法
四舍五入试商法,prerequisites_for,试商
商的变化规律,relates_to,除数是两位数的除法
口算两位数除法,prerequisites_for,除数是两位数的除法
笔算两位数除法,prerequisites_for,除数是两位数的除法
估算商,prerequisites_for,笔算两位数除法
统计表,relates_to,条形统计图
统计表,prerequisites_for,条形统计图
每格表示的数量,prerequisites_for,条形统计图
每格表示的数量,relates_to,选择合适的统计方式
根据任务时间安排顺序（优化）,prerequisites_for,任务并行处理
统计单位（每格表示的数量）,prerequisites_for,条形统计图
优化,prerequisites_for,合理安排任务顺序
统计表,prerequisites_for,选择合适的统计图与单位
条形统计图,prerequisites_for,选择合适的统计图与单位
正方形,is_a,长方形
平行四边形,is_a,梯形
数的数级与数位,relates_to,大数的读法与写法
数的数级与数位,prerequisites_for,大数的读法与写法
两位数乘法,prerequisites_for,积和商的变化规律
两位数除法,prerequisites_for,积和商的变化规律
平行四边形,relates_to,长方形
平行四边形,relates_to,正方形
梯形,relates_to,平行四边形
单位转换,prerequisites_for,大数的读法与写法
整理与分类信息,prerequisites_for,条形统计图
大数的认识,is_part_of,四年级上册
公顷和平方千米,is_part_of,四年级上册
角的度量,is_part_of,四年级上册
三位数乘两位数,is_part_of,四年级上册
平行四边形和梯形,is_part_of,四年级上册
除数是两位数的除法,is_part_of,四年级上册
条形统计图,is_part_of,四年级上册
数学广角——优化,is_part_of,四年级上册
总复习,is_part_of,四年级上册
计数单位,appears_in,大数的认识
数位,appears_in,大数的认识
数级,appears_in,大数的认识
十进制计数法,appears_in,大数的认识
多位数的读法,appears_in,大数的认识
多位数的写法,appears_in,大数的认识
比较数的大小,appears_in,大数的认识
四舍五入,appears_in,大数的认识
分级读数法,appears_in,大数的认识
分级写数法,appears_in,大数的认识
读出下面的数：五万四千六百二十一。,appears_in,大数的认识
将923456000省略亿位后面的尾数，求它的近似数。,appears_in,大数的认识
比较 92504 和 103600 的大小。,appears_in,大数的认识
公顷,appears_in,公顷和平方千米
平方千米,appears_in,公顷和平方千米
面积单位换算,appears_in,公顷和平方千米
面积,appears_in,公顷和平方千米
亩,appears_in,公顷和平方千米
面积单位换算方法,appears_in,公顷和平方千米
边长是10米的正方形，多少个这样的正方形的面积是1公顷？,appears_in,公顷和平方千米
“鸟巢”的占地面积约为20公顷，（ ）个“鸟巢”的占地面积约为1平方千米。,appears_in,公顷和平方千米
7公顷等于多少平方米？,appears_in,公顷和平方千米
线段,appears_in,角的度量
直线,appears_in,角的度量
射线,appears_in,角的度量
角,appears_in,角的度量
度（角的单位）,appears_in,角的度量
量角器,appears_in,角的度量
直角,appears_in,角的度量
锐角,appears_in,角的度量
钝角,appears_in,角的度量
平角,appears_in,角的度量
周角,appears_in,角的度量
用量角器测量角,appears_in,角的度量
用量角器画角,appears_in,角的度量
直线、线段、射线中，哪一种图形没有端点？,appears_in,角的度量
用量角器量出一个直角的度数是多少？,appears_in,角的度量
判断：钝角的度数大于90度但小于180度。（对/错）,appears_in,角的度量
三位数乘两位数的笔算,appears_in,三位数乘两位数
整十数乘法,appears_in,三位数乘两位数
积的变化规律,appears_in,三位数乘两位数
单价×数量=总价,appears_in,三位数乘两位数
速度×时间=路程,appears_in,三位数乘两位数
笔算乘法,appears_in,三位数乘两位数
运用数量关系解决实际问题,appears_in,三位数乘两位数
李叔叔从某城市乘火车去北京用了12小时，火车平均每小时行145千米。经过了多少千米？,appears_in,三位数乘两位数
计算 160×30。,appears_in,三位数乘两位数
一个篮球80元，买3个要多少钱？,appears_in,三位数乘两位数
一辆汽车每小时行70千米，4小时行多少千米？,appears_in,三位数乘两位数
平行线,appears_in,平行四边形和梯形
垂直,appears_in,平行四边形和梯形
垂足,appears_in,平行四边形和梯形
点到直线的距离,appears_in,平行四边形和梯形
平行四边形,appears_in,平行四边形和梯形
平行四边形的高,appears_in,平行四边形和梯形
平行四边形的底,appears_in,平行四边形和梯形
梯形,appears_in,平行四边形和梯形
等腰梯形,appears_in,平行四边形和梯形
直角梯形,appears_in,平行四边形和梯形
画垂线,appears_in,平行四边形和梯形
画平行线,appears_in,平行四边形和梯形
画长方形或正方形,appears_in,平行四边形和梯形
右图中，小明从A点过马路，应怎样走路线最短？为什么？,appears_in,平行四边形和梯形
画一个长10厘米、宽8厘米的长方形。,appears_in,平行四边形和梯形
下面哪些图形是梯形？指出它们的上底、下底和腰。,appears_in,平行四边形和梯形
除数是两位数的除法,appears_in,除数是两位数的除法
试商,appears_in,除数是两位数的除法
四舍五入试商法,appears_in,除数是两位数的除法
商的变化规律,appears_in,除数是两位数的除法
口算两位数除法,appears_in,除数是两位数的除法
笔算两位数除法,appears_in,除数是两位数的除法
估算商,appears_in,除数是两位数的除法
92本连环画，每班分30本，可以分给几个班？,appears_in,除数是两位数的除法
学校共有612名学生，每18人组成一个环保小组，可以组成多少组？,appears_in,除数是两位数的除法
120÷15 的值是多少？,appears_in,除数是两位数的除法
统计表,appears_in,条形统计图
条形统计图,appears_in,条形统计图
每格表示的数量,appears_in,条形统计图
比较数据,appears_in,条形统计图
选择合适的统计方式,appears_in,条形统计图
根据任务时间安排顺序（优化）,appears_in,条形统计图
任务并行处理,appears_in,条形统计图
根据下表数据画出一幅条形统计图：早餐种类牛奶6人、豆浆12人、粥24人。选择合适的每格人数标度。,appears_in,条形统计图
烧水前必须洗水壶并接水，烧水需要8分钟。在等待烧开的时间内，你可以安排哪些任务以节省总时间？,appears_in,条形统计图
某商场一周电视销售量如下：15、10、20、25、30、50、45（周一至周日）。请找出哪天销售量最多、哪天最少。,appears_in,条形统计图
统计表,appears_in,数学广角——优化
条形统计图,appears_in,数学广角——优化
统计单位（每格表示的数量）,appears_in,数学广角——优化
优化,appears_in,数学广角——优化
合理安排任务顺序,appears_in,数学广角——优化
选择合适的统计图与单位,appears_in,数学广角——优化
根据四（1）班早餐统计表（牛奶6人、豆浆12人、粥24人），选择合适的每格人数并绘制条形统计图。,appears_in,数学广角——优化
烧水时需要洗水壶（1分钟）、接水（1分钟）、烧水（8分钟）、洗茶杯（2分钟）、找茶叶（1分钟）、泡茶（1分钟）。怎样安排最节省时间？,appears_in,数学广角——优化
三个人各要玩两局五分钟的游戏，至少需要多少分钟？可多人一起玩。,appears_in,数学广角——优化
数的数级与数位,appears_in,总复习
大数的读法与写法,appears_in,总复习
两位数乘法,appears_in,总复习
两位数除法,appears_in,总复习
积和商的变化规律,appears_in,总复习
条形统计图,appears_in,总复习
平行四边形,appears_in,总复习
梯形,appears_in,总复习
长方形,appears_in,总复习
正方形,appears_in,总复习
整理与分类信息,appears_in,总复习
单位转换,appears_in,总复习
读出并写出下面的数：406098000，并指出其中数字“6”和“8”的数位及意义。,appears_in,总复习
利用积的变化规律计算：6×200 的结果是多少？已知 6×2＝12。,appears_in,总复习
根据统计表完成某小学男生戴近视镜人数的条形统计图，并指出：哪几个年级人数明显增多？,appears_in,总复习
加法,relates_to,减法
和,is_a,加法
差,is_a,减法
乘法,relates_to,除法
四则运算顺序,prerequisites_for,理解并应用四则运算顺序
加法,prerequisites_for,根据四则运算关系进行逆向求解
乘法,prerequisites_for,根据四则运算关系进行逆向求解
除法,prerequisites_for,根据四则运算关系进行逆向求解
从前面看,is_a,不同方向观察同一物体
从左面看,is_a,不同方向观察同一物体
从上面看,is_a,不同方向观察同一物体
空间想象能力,prerequisites_for,不同方向观察同一物体
观察与比较,prerequisites_for,不同方向观察同一物体
从前面看,relates_to,从左面看
从前面看,relates_to,从上面看
加法交换律,relates_to,乘法交换律
加法结合律,relates_to,乘法结合律
加法交换律,prerequisites_for,运用运算律进行简便计算
加法结合律,prerequisites_for,运用运算律进行简便计算
乘法交换律,prerequisites_for,运用运算律进行简便计算
乘法结合律,prerequisites_for,运用运算律进行简便计算
乘法分配律,prerequisites_for,运用运算律进行简便计算
小数的意义,relates_to,小数的计数单位
小数的计数单位,relates_to,小数的数位顺序
小数的性质,relates_to,小数点移动规律
小数点移动规律,prerequisites_for,小数与单位换算
小数的数位顺序,prerequisites_for,比较小数大小的方法
小数的计数单位,prerequisites_for,将分数转换成小数的方法
等边三角形,is_a,等腰三角形
三角形,prerequisites_for,三角形的底和高
三角形,prerequisites_for,三角形的内角和
三角形两边之和大于第三边,prerequisites_for,三角形
三角形的稳定性,relates_to,三角形
小数点对齐,prerequisites_for,小数加法
小数点对齐,prerequisites_for,小数减法
小数加法的交换律,is_a,小数加法
小数加法的结合律,is_a,小数加法
